BUDAT,WERKS,KOSTL,MATNR,MAKTX,MENGE,MEINS,WRBTR,WAERS
20240115,IN01,CC-1001,MAT-DIES-001,Diesel Fuel,4500,L,312750.00,INR
20240122,IN01,CC-1001,MAT-DIES-001,Diesel Fuel,3800,L,264060.00,INR
20240205,IN02,CC-2003,MAT-PETR-001,Petrol / Gasoline,1200,L,96000.00,INR
20240210,IN02,CC-2003,MAT-NGAS-001,Natural Gas,850,M3,42500.00,INR
20240215,IN01,CC-1002,MAT-DIES-001,Diesel Fuel,6200,L,431520.00,INR
20240301,IN03,CC-3001,MAT-LPG-001,LPG Cylinders,500,KG,37500.00,INR
20240310,IN01,CC-1001,MAT-DIES-001,Diesel Fuel,5100,L,357000.00,INR
20240318,IN02,CC-2001,MAT-FOIL-001,Fuel Oil HFO,2000,KG,180000.00,INR
20240325,IN03,CC-3002,MAT-DIES-001,Diesel Fuel,900,L,63000.00,INR
20240401,IN01,CC-1001,MAT-DIES-001,Diesel Fuel,7800,L,546000.00,INR
20240412,IN02,CC-2003,MAT-PETR-001,Petrol / Gasoline,1450,L,116000.00,INR
20240420,IN01,CC-1003,MAT-NGAS-001,Natural Gas,1100,M3,55000.00,INR
20240501,IN03,CC-3001,MAT-DIES-001,Diesel Fuel,3200,L,230400.00,INR
20240515,IN01,CC-1001,MAT-DIES-001,Diesel Fuel,-100,L,-7000.00,INR
20240601,IN02,CC-2002,MAT-DIES-001,Diesel Fuel,999999,L,69999930.00,INR
